과제번호,과제명,요구사항,파트1_이름,파트1_구분,파트1_기능,파트1_내용,파트2_이름,파트2_구분,파트2_기능,파트2_내용,파트3_이름,파트3_구분,파트3_기능,파트3_내용
018,테스트 환경 DB 백업 자동화,테스트 환경 DB 백업 자동화 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,UI/UX팀,테스트,테스트 환경 DB 백업 자동화 관련 테스트 수행,UI/UX팀에서 테스트 환경 DB 백업 자동화을 위해 업무 수행,운영모니터링팀,운영,테스트 환경 DB 백업 자동화 관련 테스트 수행,운영모니터링팀에서 테스트 환경 DB 백업 자동화을 위해 업무 수행,,,,
019,모바일 UI 개선,모바일 UI 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,UI/UX팀,테스트,모바일 UI 개선 관련 테스트 수행,UI/UX팀에서 모바일 UI 개선을 위해 업무 수행,결제시스템팀,개발,모바일 UI 개선 관련 기능 수정,결제시스템팀에서 모바일 UI 개선을 위해 업무 수행,,,,
020,장애 대응 푸시 알림 추가,장애 대응 푸시 알림 추가 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,결제시스템팀,개발,장애 대응 푸시 알림 추가 관련 기능 수정,결제시스템팀에서 장애 대응 푸시 알림 추가을 위해 업무 수행,운영모니터링팀,운영,장애 대응 푸시 알림 추가 관련 테스트 수행,운영모니터링팀에서 장애 대응 푸시 알림 추가을 위해 업무 수행,고객정보팀,운영,장애 대응 푸시 알림 추가 관련 테스트 수행,고객정보팀에서 장애 대응 푸시 알림 추가을 위해 업무 수행
021,모바일 UI 개선,모바일 UI 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,인증관리팀,개발,모바일 UI 개선 관련 기능 수정,인증관리팀에서 모바일 UI 개선을 위해 업무 수행,결제시스템팀,개발,모바일 UI 개선 관련 기능 수정,결제시스템팀에서 모바일 UI 개선을 위해 업무 수행,,,,
022,에러 로그 자동 수집 기능 개선,에러 로그 자동 수집 기능 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,에러 로그 자동 수집 기능 개선 관련 테스트 수행,고객정보팀에서 에러 로그 자동 수집 기능 개선을 위해 업무 수행,인증관리팀,개발,에러 로그 자동 수집 기능 개선 관련 기능 수정,인증관리팀에서 에러 로그 자동 수집 기능 개선을 위해 업무 수행,운영모니터링팀,운영,에러 로그 자동 수집 기능 개선 관련 테스트 수행,운영모니터링팀에서 에러 로그 자동 수집 기능 개선을 위해 업무 수행
023,로그인 실패 시 캡차 적용,로그인 실패 시 캡차 적용 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,인증관리팀,개발,로그인 실패 시 캡차 적용 관련 기능 수정,인증관리팀에서 로그인 실패 시 캡차 적용을 위해 업무 수행,운영모니터링팀,운영,로그인 실패 시 캡차 적용 관련 테스트 수행,운영모니터링팀에서 로그인 실패 시 캡차 적용을 위해 업무 수행,,,,
024,고객정보 수정 이력 확인 기능 추가,고객정보 수정 이력 확인 기능 추가 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,고객정보 수정 이력 확인 기능 추가 관련 테스트 수행,고객정보팀에서 고객정보 수정 이력 확인 기능 추가을 위해 업무 수행,UI/UX팀,테스트,고객정보 수정 이력 확인 기능 추가 관련 테스트 수행,UI/UX팀에서 고객정보 수정 이력 확인 기능 추가을 위해 업무 수행,,,,
025,비밀번호 초기화 방식 변경,비밀번호 초기화 방식 변경 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,결제시스템팀,개발,비밀번호 초기화 방식 변경 관련 기능 수정,결제시스템팀에서 비밀번호 초기화 방식 변경을 위해 업무 수행,인증관리팀,개발,비밀번호 초기화 방식 변경 관련 기능 수정,인증관리팀에서 비밀번호 초기화 방식 변경을 위해 업무 수행,운영모니터링팀,운영,비밀번호 초기화 방식 변경 관련 테스트 수행,운영모니터링팀에서 비밀번호 초기화 방식 변경을 위해 업무 수행
026,관리자 로그인 로그 기록 기능 강화,관리자 로그인 로그 기록 기능 강화 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,관리자 로그인 로그 기록 기능 강화 관련 테스트 수행,고객정보팀에서 관리자 로그인 로그 기록 기능 강화을 위해 업무 수행,결제시스템팀,개발,관리자 로그인 로그 기록 기능 강화 관련 기능 수정,결제시스템팀에서 관리자 로그인 로그 기록 기능 강화을 위해 업무 수행,인증관리팀,개발,관리자 로그인 로그 기록 기능 강화 관련 기능 수정,인증관리팀에서 관리자 로그인 로그 기록 기능 강화을 위해 업무 수행
027,마이페이지 접근 속도 개선,마이페이지 접근 속도 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,마이페이지 접근 속도 개선 관련 테스트 수행,고객정보팀에서 마이페이지 접근 속도 개선을 위해 업무 수행,결제시스템팀,개발,마이페이지 접근 속도 개선 관련 기능 수정,결제시스템팀에서 마이페이지 접근 속도 개선을 위해 업무 수행,UI/UX팀,테스트,마이페이지 접근 속도 개선 관련 테스트 수행,UI/UX팀에서 마이페이지 접근 속도 개선을 위해 업무 수행
028,결제 API 응답속도 개선,결제 API 응답속도 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,UI/UX팀,테스트,결제 API 응답속도 개선 관련 테스트 수행,UI/UX팀에서 결제 API 응답속도 개선을 위해 업무 수행,인증관리팀,개발,결제 API 응답속도 개선 관련 기능 수정,인증관리팀에서 결제 API 응답속도 개선을 위해 업무 수행,결제시스템팀,개발,결제 API 응답속도 개선 관련 기능 수정,결제시스템팀에서 결제 API 응답속도 개선을 위해 업무 수행
029,에러 로그 자동 수집 기능 개선,에러 로그 자동 수집 기능 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,인증관리팀,개발,에러 로그 자동 수집 기능 개선 관련 기능 수정,인증관리팀에서 에러 로그 자동 수집 기능 개선을 위해 업무 수행,고객정보팀,운영,에러 로그 자동 수집 기능 개선 관련 테스트 수행,고객정보팀에서 에러 로그 자동 수집 기능 개선을 위해 업무 수행,결제시스템팀,개발,에러 로그 자동 수집 기능 개선 관련 기능 수정,결제시스템팀에서 에러 로그 자동 수집 기능 개선을 위해 업무 수행
030,결제 API 응답속도 개선,결제 API 응답속도 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,UI/UX팀,테스트,결제 API 응답속도 개선 관련 테스트 수행,UI/UX팀에서 결제 API 응답속도 개선을 위해 업무 수행,인증관리팀,개발,결제 API 응답속도 개선 관련 기능 수정,인증관리팀에서 결제 API 응답속도 개선을 위해 업무 수행,결제시스템팀,개발,결제 API 응답속도 개선 관련 기능 수정,결제시스템팀에서 결제 API 응답속도 개선을 위해 업무 수행
031,결제 실패 오류코드 상세화,결제 실패 오류코드 상세화 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,운영모니터링팀,운영,결제 실패 오류코드 상세화 관련 테스트 수행,운영모니터링팀에서 결제 실패 오류코드 상세화을 위해 업무 수행,결제시스템팀,개발,결제 실패 오류코드 상세화 관련 기능 수정,결제시스템팀에서 결제 실패 오류코드 상세화을 위해 업무 수행,,,,
032,이메일 인증 절차 간소화,이메일 인증 절차 간소화 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,이메일 인증 절차 간소화 관련 테스트 수행,고객정보팀에서 이메일 인증 절차 간소화을 위해 업무 수행,UI/UX팀,테스트,이메일 인증 절차 간소화 관련 테스트 수행,UI/UX팀에서 이메일 인증 절차 간소화을 위해 업무 수행,,,,
033,관리자 로그인 로그 기록 기능 강화,관리자 로그인 로그 기록 기능 강화 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,관리자 로그인 로그 기록 기능 강화 관련 테스트 수행,고객정보팀에서 관리자 로그인 로그 기록 기능 강화을 위해 업무 수행,결제시스템팀,개발,관리자 로그인 로그 기록 기능 강화 관련 기능 수정,결제시스템팀에서 관리자 로그인 로그 기록 기능 강화을 위해 업무 수행,,,,
034,고객 정보 마스킹 기능 추가,고객 정보 마스킹 기능 추가 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,고객 정보 마스킹 기능 추가 관련 테스트 수행,고객정보팀에서 고객 정보 마스킹 기능 추가을 위해 업무 수행,결제시스템팀,개발,고객 정보 마스킹 기능 추가 관련 기능 수정,결제시스템팀에서 고객 정보 마스킹 기능 추가을 위해 업무 수행,인증관리팀,개발,고객 정보 마스킹 기능 추가 관련 기능 수정,인증관리팀에서 고객 정보 마스킹 기능 추가을 위해 업무 수행
035,회원탈퇴시 계정 잠금 전환,회원탈퇴시 계정 잠금 전환 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,운영모니터링팀,운영,회원탈퇴시 계정 잠금 전환 관련 테스트 수행,운영모니터링팀에서 회원탈퇴시 계정 잠금 전환을 위해 업무 수행,UI/UX팀,테스트,회원탈퇴시 계정 잠금 전환 관련 테스트 수행,UI/UX팀에서 회원탈퇴시 계정 잠금 전환을 위해 업무 수행,고객정보팀,운영,회원탈퇴시 계정 잠금 전환 관련 테스트 수행,고객정보팀에서 회원탈퇴시 계정 잠금 전환을 위해 업무 수행
036,기기 등록 최대 수 제한 설정,기기 등록 최대 수 제한 설정 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,UI/UX팀,테스트,기기 등록 최대 수 제한 설정 관련 테스트 수행,UI/UX팀에서 기기 등록 최대 수 제한 설정을 위해 업무 수행,운영모니터링팀,운영,기기 등록 최대 수 제한 설정 관련 테스트 수행,운영모니터링팀에서 기기 등록 최대 수 제한 설정을 위해 업무 수행,결제시스템팀,개발,기기 등록 최대 수 제한 설정 관련 기능 수정,결제시스템팀에서 기기 등록 최대 수 제한 설정을 위해 업무 수행
037,모바일 UI 개선,모바일 UI 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,운영모니터링팀,운영,모바일 UI 개선 관련 테스트 수행,운영모니터링팀에서 모바일 UI 개선을 위해 업무 수행,인증관리팀,개발,모바일 UI 개선 관련 기능 수정,인증관리팀에서 모바일 UI 개선을 위해 업무 수행,,,,
038,서버 과부하 알림 주기 조정,서버 과부하 알림 주기 조정 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,운영모니터링팀,운영,서버 과부하 알림 주기 조정 관련 테스트 수행,운영모니터링팀에서 서버 과부하 알림 주기 조정을 위해 업무 수행,결제시스템팀,개발,서버 과부하 알림 주기 조정 관련 기능 수정,결제시스템팀에서 서버 과부하 알림 주기 조정을 위해 업무 수행,UI/UX팀,테스트,서버 과부하 알림 주기 조정 관련 테스트 수행,UI/UX팀에서 서버 과부하 알림 주기 조정을 위해 업무 수행
039,마이페이지 접근 속도 개선,마이페이지 접근 속도 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,마이페이지 접근 속도 개선 관련 테스트 수행,고객정보팀에서 마이페이지 접근 속도 개선을 위해 업무 수행,UI/UX팀,테스트,마이페이지 접근 속도 개선 관련 테스트 수행,UI/UX팀에서 마이페이지 접근 속도 개선을 위해 업무 수행,,,,
040,회원탈퇴시 계정 잠금 전환,회원탈퇴시 계정 잠금 전환 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,결제시스템팀,개발,회원탈퇴시 계정 잠금 전환 관련 기능 수정,결제시스템팀에서 회원탈퇴시 계정 잠금 전환을 위해 업무 수행,고객정보팀,운영,회원탈퇴시 계정 잠금 전환 관련 테스트 수행,고객정보팀에서 회원탈퇴시 계정 잠금 전환을 위해 업무 수행,UI/UX팀,테스트,회원탈퇴시 계정 잠금 전환 관련 테스트 수행,UI/UX팀에서 회원탈퇴시 계정 잠금 전환을 위해 업무 수행
041,비밀번호 초기화 방식 변경,비밀번호 초기화 방식 변경 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,결제시스템팀,개발,비밀번호 초기화 방식 변경 관련 기능 수정,결제시스템팀에서 비밀번호 초기화 방식 변경을 위해 업무 수행,UI/UX팀,테스트,비밀번호 초기화 방식 변경 관련 테스트 수행,UI/UX팀에서 비밀번호 초기화 방식 변경을 위해 업무 수행,,,,
042,다국어 지원 기능 도입,다국어 지원 기능 도입 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,결제시스템팀,개발,다국어 지원 기능 도입 관련 기능 수정,결제시스템팀에서 다국어 지원 기능 도입을 위해 업무 수행,인증관리팀,개발,다국어 지원 기능 도입 관련 기능 수정,인증관리팀에서 다국어 지원 기능 도입을 위해 업무 수행,,,,
043,기기 등록 최대 수 제한 설정,기기 등록 최대 수 제한 설정 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,인증관리팀,개발,기기 등록 최대 수 제한 설정 관련 기능 수정,인증관리팀에서 기기 등록 최대 수 제한 설정을 위해 업무 수행,운영모니터링팀,운영,기기 등록 최대 수 제한 설정 관련 테스트 수행,운영모니터링팀에서 기기 등록 최대 수 제한 설정을 위해 업무 수행,고객정보팀,운영,기기 등록 최대 수 제한 설정 관련 테스트 수행,고객정보팀에서 기기 등록 최대 수 제한 설정을 위해 업무 수행
044,관리자 로그인 로그 기록 기능 강화,관리자 로그인 로그 기록 기능 강화 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,UI/UX팀,테스트,관리자 로그인 로그 기록 기능 강화 관련 테스트 수행,UI/UX팀에서 관리자 로그인 로그 기록 기능 강화을 위해 업무 수행,결제시스템팀,개발,관리자 로그인 로그 기록 기능 강화 관련 기능 수정,결제시스템팀에서 관리자 로그인 로그 기록 기능 강화을 위해 업무 수행,운영모니터링팀,운영,관리자 로그인 로그 기록 기능 강화 관련 테스트 수행,운영모니터링팀에서 관리자 로그인 로그 기록 기능 강화을 위해 업무 수행
045,장애 대응 푸시 알림 추가,장애 대응 푸시 알림 추가 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,운영모니터링팀,운영,장애 대응 푸시 알림 추가 관련 테스트 수행,운영모니터링팀에서 장애 대응 푸시 알림 추가을 위해 업무 수행,고객정보팀,운영,장애 대응 푸시 알림 추가 관련 테스트 수행,고객정보팀에서 장애 대응 푸시 알림 추가을 위해 업무 수행,결제시스템팀,개발,장애 대응 푸시 알림 추가 관련 기능 수정,결제시스템팀에서 장애 대응 푸시 알림 추가을 위해 업무 수행
046,모바일 UI 개선,모바일 UI 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,모바일 UI 개선 관련 테스트 수행,고객정보팀에서 모바일 UI 개선을 위해 업무 수행,인증관리팀,개발,모바일 UI 개선 관련 기능 수정,인증관리팀에서 모바일 UI 개선을 위해 업무 수행,,,,
047,유저 세션 만료시간 조정,유저 세션 만료시간 조정 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,고객정보팀,운영,유저 세션 만료시간 조정 관련 테스트 수행,고객정보팀에서 유저 세션 만료시간 조정을 위해 업무 수행,운영모니터링팀,운영,유저 세션 만료시간 조정 관련 테스트 수행,운영모니터링팀에서 유저 세션 만료시간 조정을 위해 업무 수행,결제시스템팀,개발,유저 세션 만료시간 조정 관련 기능 수정,결제시스템팀에서 유저 세션 만료시간 조정을 위해 업무 수행
048,회원탈퇴시 계정 잠금 전환,회원탈퇴시 계정 잠금 전환 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,운영모니터링팀,운영,회원탈퇴시 계정 잠금 전환 관련 테스트 수행,운영모니터링팀에서 회원탈퇴시 계정 잠금 전환을 위해 업무 수행,인증관리팀,개발,회원탈퇴시 계정 잠금 전환 관련 기능 수정,인증관리팀에서 회원탈퇴시 계정 잠금 전환을 위해 업무 수행,결제시스템팀,개발,회원탈퇴시 계정 잠금 전환 관련 기능 수정,결제시스템팀에서 회원탈퇴시 계정 잠금 전환을 위해 업무 수행
049,관리자 로그인 로그 기록 기능 강화,관리자 로그인 로그 기록 기능 강화 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,UI/UX팀,테스트,관리자 로그인 로그 기록 기능 강화 관련 테스트 수행,UI/UX팀에서 관리자 로그인 로그 기록 기능 강화을 위해 업무 수행,고객정보팀,운영,관리자 로그인 로그 기록 기능 강화 관련 테스트 수행,고객정보팀에서 관리자 로그인 로그 기록 기능 강화을 위해 업무 수행,인증관리팀,개발,관리자 로그인 로그 기록 기능 강화 관련 기능 수정,인증관리팀에서 관리자 로그인 로그 기록 기능 강화을 위해 업무 수행
050,에러 로그 자동 수집 기능 개선,에러 로그 자동 수집 기능 개선 관련하여 고객 VOC가 반복 발생하여 기능 개선이 요구됨.,결제시스템팀,개발,에러 로그 자동 수집 기능 개선 관련 기능 수정,결제시스템팀에서 에러 로그 자동 수집 기능 개선을 위해 업무 수행,운영모니터링팀,운영,에러 로그 자동 수집 기능 개선 관련 테스트 수행,운영모니터링팀에서 에러 로그 자동 수집 기능 개선을 위해 업무 수행,고객정보팀,운영,에러 로그 자동 수집 기능 개선 관련 테스트 수행,고객정보팀에서 에러 로그 자동 수집 기능 개선을 위해 업무 수행
